"Run","SampleName","Population"
"SRR27755060","2011Feb09-02_S47","SRKW"
"SRR27755059","2011Feb09-03_S48","SRKW"
"SRR27755057","2011Feb10-02_S49","SRKW"
"SRR27755056","2011Feb10-b_S50","SRKW"
"SRR27755055","2011Feb11-01_S51","SRKW"
"SRR27755054","2014APR14-01_S17","SRKW"
"SRR27755053","2014JAN18-01_S5","SRKW"
"SRR27755052","2014JAN18-02_S6","SRKW"
"SRR27755050","2014JAN18-03-reex_S30","SRKW"
"SRR27755051","2014JAN18-03_S7","SRKW"
"SRR27755048","2014JAN18-04-reex_S27","SRKW"
"SRR27755049","2014JAN18-04_S8","SRKW"
"SRR27755046","2014JAN18-05_S9","SRKW"
"SRR27755024","2014JAN18-06_S14","SRKW"
"SRR27755023","2014NOV15-01-reex_S31","SRKW"
"SRR27755043","2014OCT17-01-reex_S28","SRKW"
"SRR27755022","2014OCT17-01_S18","SRKW"
"SRR27755041","2014OCT17-02-reex_S25","SRKW"
"SRR27755042","2014OCT17-02_S19","SRKW"
"SRR27755040","2015FEB18-02_S3","SRKW"
"SRR27755039","2015FEB18-04_S4","SRKW"
"SRR27755038","2015FEB19-04_S10","SRKW"
"SRR27755036","2015FEB23-05_S11","SRKW"
"SRR27755035","2015FEB24-01_S12","SRKW"
"SRR27755033","2015FEB25-03-reex_S26","SRKW"
"SRR27755034","2015FEB25-03_S13","SRKW"
"SRR27755031","2015Jan02-A-reex_S24","SRKW"
"SRR27755032","2015Jan02-A_S1","SRKW"
"SRR27755030","2015Jan03-A_S2","SRKW"
"SRR27755028","2015Jan10-02-reex_S33","SRKW"
"SRR27755029","2015Jan10-02_S15","SRKW"
"SRR27755027","2015Jan10-03_S16","SRKW"
"SRR27755099","2016Feb25-04-2_S43","SRKW"
"SRR27755098","2016Feb25-04-reex_S32","SRKW"
"SRR27755025","2016Feb25-04_S23","SRKW"
"SRR27755044","2017Mar31-01_S1","SRKW"
"SRR27755058","2017Mar31-01rep_S10","SRKW"
"SRR27754995","2017Sep10-02_S19","SRKW"
"SRR27754994","2017Sep10-06_S28","SRKW"
"SRR27754993","2017Sep10-11_S37","SRKW"
"SRR27754992","2017Sep13-01_S46","SRKW"
"SRR27754990","2017Sep19-04_S54","SRKW"
"SRR27755270","2017Sep21-02_S62","SRKW"
"SRR27755037","2017Sep23-03_S2","SRKW"
"SRR27755026","2017Sep23-07_S11","SRKW"
"SRR27755110","2017Sep23-07rep_S20","SRKW"
"SRR27755015","2017Sep23-14_S29","SRKW"
"SRR27755148","2017Sep24-10_S38","SRKW"
"SRR27755275","2017Sep24-15_S47","SRKW"
"SRR27755247","2017Sep26-07_S55","SRKW"
"SRR27755159","2018AUG12-01-A_S6","SRKW"
"SRR27755157","2018AUG12-01-B_S15","SRKW"
"SRR27754988","2018JUN11-01_S24","SRKW"
"SRR27754987","2018JUN11-02_S33","SRKW"
"SRR27754986","2018JUN11-03_S42","SRKW"
"SRR27755175","2018JUN11-04A_S51","SRKW"
"SRR27755174","2018JUN11-04B_S59","SRKW"
"SRR27755173","2018JUN11-05A_S67","SRKW"
"SRR27755172","2018JUN11-05B_S7","SRKW"
"SRR27755171","2018JUN11-07_S16","SRKW"
"SRR27755170","2018JUN11-08_S25","SRKW"
"SRR27755168","2018JUN11-10_S34","SRKW"
"SRR27755167","2018JUN11-11A_S43","SRKW"
"SRR27755166","2018JUN11-11B_S52","SRKW"
"SRR27755165","2018JUN11-13A_S60","SRKW"
"SRR27755164","2018JUN11-13B_S68","SRKW"
"SRR27755163","2018JUN14-05_S8","SRKW"
"SRR27755162","2018JUN14-08_S17","SRKW"
"SRR27755161","2018JUN14-10_S26","SRKW"
"SRR27755160","2018JUN15-02_S35","SRKW"
"SRR27755097","30-Jan-15_S20","SRKW"
"SRR27755021","30-Jan-2015-2_S34","SRKW"
"SRR27755020","30-Jan-2015-3_S40","SRKW"
"SRR27755083","52196-126_S82","SRKW"
"SRR27755242","52196-128_S7","SRKW"
"SRR27755090","52196-129_S17","SRKW"
"SRR27755004","52196-130_S29","SRKW"
"SRR27755007","52196-131_S40","SRKW"
"SRR27755245","52196-138_S51","SRKW"
"SRR27755246","52196-140_S62","SRKW"
"SRR27755272","52196-142_S72","SRKW"
"SRR27755019","52196-143_S83","SRKW"
"SRR27755002","52196-144_S8","SRKW"
"SRR27754991","52196-145_S18","SRKW"
"SRR27754989","52196-145rep_S74","SRKW"
"SRR27755006","52196-148_S30","SRKW"
"SRR27755005","52196-148rep_S85","SRKW"
"SRR27755095","52196-150_S41","SRKW"
"SRR27755084","52196-151_S52","SRKW"
"SRR27755086","52196-152_S63","SRKW"
"SRR27755082","52196-153_S73","SRKW"
"SRR27755089","52196-155_S84","SRKW"
"SRR27755243","52196-156_S9","SRKW"
"SRR27755081","52196-157_S19","SRKW"
"SRR27755014","52196-158_S31","SRKW"
"SRR27755003","52196-161_S42","SRKW"
"SRR27754999","52196-162_S53","SRKW"
"SRR27754998","52196-163_S1","SRKW"
"SRR27754997","52196-163b_S64","SRKW"
"SRR27754996","52196-163rep_S11","SRKW"
"SRR27755047","52196-170_S22","SRKW"
"SRR27755013","52196-173_S23","SRKW"
"SRR27755012","52196-174_S34","SRKW"
"SRR27755096","52196-175_S45","SRKW"
"SRR27755094","52196-176_S56","SRKW"
"SRR27755085","52196-177_S66","SRKW"
"SRR27755016","52196-178_S77","SRKW"
"SRR27755274","52196-183_S2","SRKW"
"SRR27755273","52196-183rep_S21","SRKW"
"SRR27755271","52196-185_S12","SRKW"
"SRR27755087","52196-188_S24","SRKW"
"SRR27755091","52196-189_S35","SRKW"
"SRR27755093","52196-190_S46","SRKW"
"SRR27755092","52196-190rep_S33","SRKW"
"SRR27755010","52196-198_S57","SRKW"
"SRR27755008","52196-198repB_S76","SRKW"
"SRR27755009","52196-198rep_S44","SRKW"
"SRR27755000","52196-202_S67","SRKW"
"SRR27755017","52196-204_S78","SRKW"
"SRR27755088","52196-205_S3","SRKW"
"SRR27755018","52196-206_S13","SRKW"
"SRR27755111","52196-206repB_S87","SRKW"
"SRR27755112","52196-206rep_S55","SRKW"
"SRR27755011","52196-207_S25","SRKW"
"SRR27755158","52389-10_S8","SRKW"
"SRR27755169","52389-11_S9","SRKW"
"SRR27755248","52389-15_S10","SRKW"
"SRR27755147","52389-16_S11","SRKW"
"SRR27755001","52389-1_S3","SRKW"
"SRR27755244","52389-20_S14","SRKW"
"SRR27755249","52389-28_S16","SRKW"
"SRR27755254","52389-29_S17","SRKW"
"SRR27755125","52389-30_S76","SRKW"
"SRR27755130","52389-3_S4","SRKW"
"SRR27755190","52389-4_S5","SRKW"
"SRR27755230","52389-5_S6","SRKW"
"SRR27755213","52389-6_S7","SRKW"
"SRR27755156","52390-19_S21","SRKW"
"SRR27755155","52390-20_S22","SRKW"
"SRR27755154","52390-24_S23","SRKW"
"SRR27755152","52390-25-dup_S33","SRKW"
"SRR27755153","52390-25_S24","SRKW"
"SRR27755151","52390-26_S25","SRKW"
"SRR27755149","52390-27-dup_S34","SRKW"
"SRR27755150","52390-27_S26","SRKW"
"SRR27755251","52390-28_S27","SRKW"
"SRR27755109","52390-32_S28","SRKW"
"SRR27755250","52390-35_S29","SRKW"
"SRR27755269","52390-36_S30","SRKW"
"SRR27755268","52390-39_S31","SRKW"
"SRR27755267","52390-40_S32","SRKW"
"SRR27755107","CRC2015APR09-03-2_S36","SRKW"
"SRR27755106","CRC2015APR09-03-3_S42","SRKW"
"SRR27755108","CRC2015APR09-03_S22","SRKW"
"SRR27755105","CRC2015MAR0306-01-reex_S29","SRKW"
"SRR27755103","CRC2015MAR06-06-2_S35","SRKW"
"SRR27755102","CRC2015MAR06-06-3_S41","SRKW"
"SRR27755104","CRC2015MAR06-06_S21","SRKW"
"SRR27755101","F18Aug18-01_S44","SRKW"
"SRR27755100","F18Aug18-02_S53","SRKW"
"SRR27755196","MS2017Nov06-04_S63","SRKW"
"SRR27755180","MS2017Nov06-05_S3","SRKW"
"SRR27755080","MS2017Nov08-01_S12","SRKW"
"SRR27755075","MS2017Nov08-02_S21","SRKW"
"SRR27755070","MS2017Nov22-01_S30","SRKW"
